I'm feeling so close and yet you're wondering
Where are you little star?
We go, we go, we start
I wonder where you are
I'm on the glass of hot water
Like a diamond star
I wonder where you are
I'm having no problems with playing your flute
I'm in mourning your place before
It's written on the stuff we love
Oh, on the stuff we love
Oh, you don't know me now that my name
We slowly went off the bridge
Right in the night, dancing on the stuff
Oh, yeah, we're too long for what we want
It's been on so long, we want
Girl, can you go back?
No, you can't go back
Girl, say it in the end, yeah
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
I wonder where you are
